Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
107,4.887580871582031e-05,3,0.00017595291137695312,4,0,0,1.71661376953125e-05,16,8.58306884765625e-05,3
108,5.3882598876953125e-05,2,0.0008690357208251953,3,0,0,9.512901306152344e-05,52,7.891654968261719e-05,2
109,6.103515625e-05,4,0.00011801719665527344,5,0,0,1.2874603271484375e-05,11,8.797645568847656e-05,4
110,0.00013303756713867188,10,0.00046515464782714844,11,0,0,5.698204040527344e-05,36,0.00015497207641601562,10
111,0.00011897087097167969,8,7.796287536621094e-05,9,0,0,1.5020370483398438e-05,15,0.00016689300537109375,8
112,4.100799560546875e-05,2,0.0003058910369873047,3,0,0,3.3855438232421875e-05,26,8.702278137207031e-05,2
113,8.606910705566406e-05,6,0.0005729198455810547,7,0,0,6.914138793945312e-05,44,0.00011301040649414062,6
114,6.103515625e-05,4,0.0002028942108154297,5,0,0,2.3126602172851562e-05,21,9.298324584960938e-05,4
115,6.198883056640625e-05,4,0.00023984909057617188,9,0,0,3.2901763916015625e-05,27,9.202957153320312e-05,4
116,3.600120544433594e-05,2,0.0001850128173828125,3,0,0,2.8133392333984375e-05,23,7.677078247070312e-05,2
117,7.200241088867188e-05,5,8.392333984375e-05,6,0,0,1.5020370483398438e-05,14,9.894371032714844e-05,5
118,0.00010919570922851562,8,0.00025081634521484375,13,0,0,3.910064697265625e-05,29,0.00012993812561035156,8
119,3.790855407714844e-05,2,0.00039315223693847656,3,0,0,4.1961669921875e-05,32,7.915496826171875e-05,2
120,6.103515625e-05,4,4.38690185546875e-05,5,0,0,1.4066696166992188e-05,13,9.393692016601562e-05,4
121,7.510185241699219e-05,5,4.887580871582031e-05,6,0,0,8.106231689453125e-06,8,0.00010514259338378906,5
122,7.104873657226562e-05,5,6.580352783203125e-05,6,0,0,1.1920928955078125e-05,12,0.00010609626770019531,5
123,0.00014781951904296875,10,0.0004889965057373047,15,0,0,7.200241088867188e-05,42,0.00013899803161621094,10
124,7.390975952148438e-05,5,0.00014209747314453125,6,0,0,2.09808349609375e-05,19,9.799003601074219e-05,5
125,0.00012993812561035156,9,0.00026488304138183594,10,0,0,3.0994415283203125e-05,24,0.00015997886657714844,9
126,0.00010704994201660156,7,0.00010704994201660156,8,0,0,1.811981201171875e-05,16,0.00014495849609375,7
127,7.605552673339844e-05,5,0.0003809928894042969,8,0,0,3.0994415283203125e-05,25,0.00010395050048828125,5
128,6.198883056640625e-05,4,0.000125885009765625,5,0,0,1.5974044799804688e-05,15,9.393692016601562e-05,4
129,0.00013494491577148438,10,0.00010991096496582031,11,0,0,1.5020370483398438e-05,15,0.0001537799835205078,10
